地区,年份,结婚登记(万对),内地居民初婚登记(万人),内地居民再婚登记(万人),离婚登记(万对),粗离婚率(‰),总人口(万人),人口出生率(%),GDP(亿元),全体居民人均可支配收入(元)
北京市,2024年,11.45,14.82,8.08,6.72,3.08,2183,6.09,49670.2,85415
北京市,2023年,13.73,19.52,7.95,5.49,2.51,2186,5.63,47353.7,81752
北京市,2022年,9.13,11.81,6.45,4.42,2.02,2184,5.67,45222.4,77415
北京市,2021年,10.34,13.63,7.04,5.04,2.3,2189,6.35,44350.7,75002
北京市,2020年,11.38,12.43,10.33,8.19,3.77,2189,6.99,38503.6,69434
北京市,2019年,12.9,14.15,11.64,8.38,3.89,2190,8.12,37767,67756
北京市,2018年,13.78,16.92,10.65,7.41,3.43,2192,8.24,35161.4,62361
北京市,2017年,15.15,17.93,12.36,8.06,3.71,2194,9.06,31325.9,57230
北京市,2016年,16.62,20.08,13.17,10.58,4.89,2195,9.32,28438.7,52530
北京市,2015年,16.6,22.95,10.25,8.22,3.79,2188,7.96,26034.1,48458
北京市,2014年,17,25.38,8.63,6.56,3.08,2171,9.75,23577.5,44489
北京市,2013年,16.37,25.16,7.57,6.46,3.06,2125,8.93,21746,40830
北京市,2012年,17.41,28.74,6.08,4.86,2.35,2078,9.05,19568.3,36817
北京市,2011年,17.32,28.84,5.81,4.35,3.45,2024,8.29,17653.3,33176
北京市,2010年,13.8,22.2,5.4,4.4,2.37,1962,7.48,15420.2,29228
北京市,2009年,18.18,30.58,5.77,4.13,,1860,8.06,13335.7,26571
北京市,2008年,14.75,24.63,4.87,3.76,,1771,8.17,12167.6,24371
北京市,2007年,11.79,19.34,4.25,3.66,,1676,8.32,10730.4,21458
北京市,2006年,17.1,29.4,4.8,3.6,,1601,6.26,8618.9,19296
北京市,2005年,9.7,15.9,3.4,3.4,,1538,6.29,7327.4,16853
北京市,2004年,12.64,21.44,3.65,3.3,,1493,6.1,6424.1,
北京市,2003年,9.4,15.9,2.7,3.1,,1456,5.1,5400.1,
北京市,2002年,7.6,12.6,2.5,2.8,,1423,6.6,4634.9,
北京市,2001年,7.94,13.33,2.38,2.77,,1385,6.1,3935.4,
天津市,2024年,6.04,9.72,2.37,4.36,3.2,1364,4.99,17931.3,53581
天津市,2023年,8.38,13.69,3.06,4.94,3.62,1364,4.47,17211.8,51271
天津市,2022年,6.89,8.21,5.56,4.03,2.95,1363,4.75,16588.5,48976
天津市,2021年,8.04,9.1,6.98,4.14,3,1373,5.3,16093.2,47449
天津市,2020年,8.98,13.28,4.69,7.26,4.92,1387,5.99,14230.8,43854
天津市,2019年,9.64,14.11,5.18,7.47,4.78,1385,6.73,14097.2,42404
天津市,2018年,9.75,14.96,4.54,6.41,4.11,1383,6.67,13411.1,39506
天津市,2017年,9.51,15.4,3.61,5.89,3.78,1410,7.65,12468.2,37022
天津市,2016年,9.82,16.15,3.49,6.52,4.24,1443,7.37,11487,34074
天津市,2015年,10.12,17.49,2.76,5.19,3.36,1439,5.84,10889.2,31291
天津市,2014年,9.94,17.39,2.48,4.45,2.98,1429,8.19,10749.2,28832
天津市,2013年,10.26,16.99,3.53,4.53,3.07,1410,8.28,10075.2,26359
天津市,2012年,10.14,17.47,2.81,3.63,2.57,1378,8.75,9193,24030
天津市,2011年,10.41,17.33,3.5,3.21,3.24,1341,8.58,8240.8,21714
天津市,2010年,8.7,13.8,3.6,3,2.37,1299,8.18,6991.6,19266
天津市,2009年,10.4,17.36,3.45,2.76,,1228,8.3,5828.6,16967
天津市,2008年,8.93,15.19,2.68,2.4,,1176,8.13,5278.3,15444
天津市,2007年,7.57,12.49,2.65,2.21,,1115,7.91,4229.8,13116
天津市,2006年,8.4,14.3,2.4,2.1,,1075,7.67,3592.5,11526
天津市,2005年,6.4,10.3,2.4,1.9,,1043,7.44,3203.6,10255
天津市,2004年,7.7,13.16,2.16,1.8,,1024,7.31,2663.3,
天津市,2003年,6.3,10.9,1.6,1.4,,1011,7.14,2288.7,
天津市,2002年,5.4,9.3,1.5,1.2,,1007,7.49,1952.3,
天津市,2001年,5.79,10.04,1.49,1.31,,1004,7.58,1778.3,
河北省,2024年,27.94,43.2,12.69,16.83,2.28,7378,5.9,47448.1,34665
河北省,2023年,37.11,56.82,17.4,17.77,2.4,7393,5.54,45660,32903
河北省,2022年,30.21,43.35,17.07,12.95,1.75,7420,6.09,43198.3,30867
河北省,2021年,33.71,45.8,21.63,13.4,1.8,7448,7.15,41205.4,29383
河北省,2020年,37.49,48.44,26.54,23.65,3.14,7464,8.16,36821.5,27136
河北省,2019年,42.13,55.14,29.13,25.57,3.37,7447,10.83,35623.5,25665
河北省,2018年,45.87,64.52,27.23,23.45,3.11,7426,11.26,32947,23446
河北省,2017年,50.49,75.05,25.93,23.24,3.1,7409,13.2,31065.5,21484
河北省,2016年,55.19,85.14,25.24,22.02,2.96,7375,12.42,28879.7,19725
河北省,2015年,60.94,98.75,23.14,19.9,2.68,7345,11.35,26744.1,18118
河北省,2014年,66.13,109.99,22.28,18.57,2.52,7323,13.18,25644.1,16647
河北省,2013年,74.08,126.62,21.53,17.88,2.44,7288,13.04,24659.1,15190
河北省,2012年,74.53,130.3,18.76,17.12,2.35,7262,12.88,23437.3,13647
河北省,2011年,77.72,137,18.43,15.63,2.14,7232,13.02,21711.7,12059
河北省,2010年,75,135.6,14.5,14.5,2.04,7194,13.22,18254.1,10428
河北省,2009年,72,130.06,13.93,12.67,,7034,12.93,15540.3,9267
河北省,2008年,66.31,120.35,12.28,11.22,,6989,13.04,14403.8,8365
河北省,2007年,60.39,109.39,11.4,9.88,,6943,13.33,12317.6,7233
河北省,2006年,55.5,100.4,10.6,9.2,,6898,12.82,10178.1,6295
河北省,2005年,53.8,97.5,10.1,8.3,,6851,12.84,8886.2,5581
河北省,2004年,57.48,104.16,10.76,7.7,,6809,11.98,7683,
河北省,2003年,52.4,95.3,9.5,5.8,,6769,11.43,7684,
河北省,2002年,47.1,85.2,8.9,5.3,,6735,11.53,5574.9,
河北省,2001年,44.56,81.63,7.46,5.16,,6699,11.16,5107.8,
山西省,2024年,16,25.57,6.44,6.96,2.02,3446,6.94,25353.5,32441
山西省,2023年,20.59,34.02,7.17,18.19,2.12,3466,6.13,26050.8,30924
山西省,2022年,18.19,30.22,6.16,5.72,1.64,3481,6.75,25653.2,29178
山西省,2021年,22.33,37.29,7.37,5.86,1.68,3480,7.06,23087.8,27426
山西省,2020年,21.58,35.66,7.5,8.21,2.27,3490,8.26,18202.7,25214
山西省,2019年,25.5,42.63,8.38,9.12,2.45,3497,9.12,17311,23828
山西省,2018年,27.85,47.56,8.14,8.75,2.36,3502,9.63,16153.1,21990
山西省,2017年,28.77,50.3,7.25,8.22,2.23,3510,11.06,14679.1,20420
山西省,2016年,30.01,53.08,6.94,7.65,2.09,3514,10.29,12160.1,19049
山西省,2015年,34.68,62.31,7.04,7.22,1.97,3519,9.98,12036.1,17854
山西省,2014年,35.07,63.75,6.39,6.56,1.8,3528,10.92,12307,16538
山西省,2013年,38.4,71.03,5.77,6.1,1.68,3535,10.81,12171.8,15120
山西省,2012年,36.28,67.7,4.86,5.28,1.46,3548,10.7,11819.7,13592
山西省,2011年,33.96,63.36,4.56,4.75,1.37,3562,10.47,11005.1,11959
山西省,2010年,36.1,67.6,4.5,4.3,1.23,3574,10.68,9004.5,10149
山西省,2009年,34.36,63.29,5.44,3.89,,3427,10.87,7231.2,8911
山西省,2008年,28.74,52.81,4.67,3.28,,3411,11.32,7295.8,8333
山西省,2007年,23.85,44.35,3.35,3.24,,3393,11.3,5991.9,7282
山西省,2006年,20.2,37.7,2.7,3,,3375,11.48,4758.7,6235
山西省,2005年,19,35.4,2.6,2.9,,3355,12.02,4118,5518
山西省,2004年,16.15,30.24,2.04,2.7,,3335,12.36,3533.1,
山西省,2003年,14.5,27.3,1.7,2.3,,3314,12.26,2884,
山西省,2002年,15.4,29.2,1.5,2.3,,3294,12.86,2348.2,
山西省,2001年,14.62,27.71,1.51,2.29,,3272,13.06,2049,
内蒙古自治区,2024年,10.29,13.39,7.2,6.87,2.87,2388,5.52,26337,40077
内蒙古自治区,2023年,14.24,19.78,8.69,7.06,2.94,2396,5,25020.5,38130
内蒙古自治区,2022年,11.46,15.58,7.35,5.24,2.18,2401,5.58,23795.7,35921
内蒙古自治区,2021年,13.21,17.59,8.83,5.49,2.29,2400,6.26,21584.8,34108
内蒙古自治区,2020年,14.17,17.86,10.47,8.61,3.48,2403,7.2,17623.4,31497
内蒙古自治区,2019年,16.18,20.7,11.65,9.98,3.93,2415,8.23,17479.4,30555
内蒙古自治区,2018年,17.69,23.48,11.89,9.88,3.9,2422,8.35,16252.9,28376
内蒙古自治区,2017年,18.7,26.32,11.08,10.09,4,2433,9.47,15009.9,26212
内蒙古自治区,2016年,19.84,28.09,11.59,9.84,3.92,2436,9.03,13879,24127
内蒙古自治区,2015年,21.79,33.1,10.47,9.19,3.66,2440,7.72,13062.7,22310
内蒙古自治区,2014年,21.68,33.6,9.75,8.84,3.54,2449,9.31,12377.3,20559
内蒙古自治区,2013年,22.16,35.51,8.81,8.07,3.23,2455,8.98,11584.9,18693
内蒙古自治区,2012年,20.77,34.39,7.15,7.06,2.83,2464,9.17,10638.9,16800
内蒙古自治区,2011年,21.53,35.91,7.14,6.67,2.72,2470,8.94,9610.8,14715
内蒙古自治区,2010年,20.3,33.6,6.9,5.7,2.31,2472,9.3,8342.1,12538
内蒙古自治区,2009年,18.84,32.04,5.63,5.2,,2458,9.57,7227,11015
内蒙古自治区,2008年,18.78,32.5,5.06,5.02,,2444,9.81,6352.4,9923
内蒙古自治区,2007年,18.57,32.86,4.27,4.73,,2429,10.21,5239.6,8340
内蒙古自治区,2006年,16.3,29.6,3,4.1,,2415,9.87,4212.3,6876
内蒙古自治区,2005年,15.5,28,2.9,3.9,,2403,10.08,3562.7,5985
内蒙古自治区,2004年,14.77,26.85,2.66,3.7,,2393,9.53,2976.2,
内蒙古自治区,2003年,13.1,24.3,1.8,3,,2386,9.24,2415.1,
内蒙古自治区,2002年,13.1,24.2,2,2.5,,2384,9.6,1959.7,
内蒙古自治区,2001年,14.76,27.44,2.05,3.31,,2381,10.77,1729.5,
辽宁省,2024年,14.95,18.8,11.1,11.84,2.84,4155,4.32,32540.8,39844
辽宁省,2023年,22.84,36.14,9.54,12.03,2.87,4182,4.06,31389.8,37992
辽宁省,2022年,19.09,30.42,7.76,9.26,2.21,4197,4.08,29739.7,36089
辽宁省,2021年,21.44,33.4,9.49,9.6,2.26,4229,4.71,28471,35112
辽宁省,2020年,22.43,32.71,12.15,15.05,3.49,4255,5.16,25839,32738
辽宁省,2019年,25.56,32.23,18.88,17.68,4.06,4277,6.45,25665.9,31820
辽宁省,2018年,28.08,45.64,10.52,17.24,3.95,4291,6.39,24113.5,29701
辽宁省,2017年,29.19,51.94,6.43,16.68,3.81,4312,6.49,22105.4,27835
辽宁省,2016年,31.26,55.5,7.02,16.01,3.65,4327,6.6,20832,26040
辽宁省,2015年,31.7,57.53,5.87,15.23,3.48,4338,6.17,20657.8,24576
辽宁省,2014年,34.51,62.75,6.27,15.27,3.48,4358,6.49,20381.5,22820
辽宁省,2013年,36.96,67.18,6.75,15.21,3.47,4365,6.09,19534.3,20818
辽宁省,2012年,37.29,66.96,7.61,14.12,3.22,4375,6.15,18127.6,18761
辽宁省,2011年,37.26,61.01,13.52,13.91,3.27,4379,5.71,16585.3,16429
辽宁省,2010年,32.2,50.5,13.9,12.8,2.94,4375,6.68,14105.8,13953
辽宁省,2009年,38.17,62.4,13.93,13.15,,4341,6.06,13003.2,12183
辽宁省,2008年,32.4,51.99,12.8,12.17,,4315,6.32,12303,11125
辽宁省,2007年,29.18,48.16,10.19,11.55,,4298,6.89,10422.8,9421
辽宁省,2006年,31.2,51.7,10.6,10.7,,4271,6.4,8489.3,7937
辽宁省,2005年,26,42.7,9.3,11.1,,4221,7.01,7342.2,6979
辽宁省,2004年,29.29,49.67,8.41,10.7,,4217,6.51,6547.7,
辽宁省,2003年,25.4,42.7,7.4,8.3,,4210,6.9,5973.6,
辽宁省,2002年,23.8,40.3,6.7,6.5,,4203,7.38,5507.8,
辽宁省,2001年,25.64,44.82,5.9,8.39,,4194,7.74,5074.9,
吉林省,2024年,10.21,14.67,5.75,7.86,3.37,2317,4.17,14305,31318
吉林省,2023年,13.79,20.61,6.97,8.02,3.42,2339,3.76,13942.7,29797
吉林省,2022年,11.4,14.33,8.48,5.93,2.52,2348,4.32,13121.4,27975
吉林省,2021年,13.89,17.32,10.46,6.4,2.68,2375,4.7,13431.1,27770
吉林省,2020年,13.93,16.25,11.6,10.37,4.07,2399,4.84,12499.5,25751
吉林省,2019年,18.08,21.32,14.84,12.98,4.83,2448,6.05,11949.4,24563
吉林省,2018年,19.32,27.19,11.44,12.88,4.75,2484,6.62,11437.4,22798
吉林省,2017年,20.63,36.47,4.78,13.36,4.9,2526,6.76,11083,21368
吉林省,2016年,22.15,39.59,4.71,12.92,4.71,2567,5.55,10603.5,19967
吉林省,2015年,23.45,42.42,4.47,12.74,4.63,2613,5.87,10162.9,18684
吉林省,2014年,23.52,42.91,4.13,12.21,4.44,2642,6.62,10077,17520
吉林省,2013年,25.41,46.83,3.98,12.4,4.51,2668,5.36,9608.6,15998
吉林省,2012年,22.98,42.66,3.31,11.1,4.03,2698,5.73,8831.3,14395
吉林省,2011年,23.82,40.86,6.78,10.14,3.72,2725,6.53,7857.7,12621
吉林省,2010年,22.3,39.4,5.2,9.4,3.43,2747,7.91,6505.9,10798
吉林省,2009年,23.91,41.99,5.82,8.96,,2740,6.69,5515.3,9671
吉林省,2008年,21.9,38.84,4.95,8.37,,2734,6.65,4905.4,8921
吉林省,2007年,21.11,37.15,5.07,8.3,,2730,7.55,4134.7,7791
吉林省,2006年,19.8,35,4.7,7.6,,2723,7.67,3271.5,6757
吉林省,2005年,16.8,29.1,4.6,7.3,,2716,7.89,2810.1,6010
吉林省,2004年,17.72,30.05,4.97,7.1,,2709,7.39,2487.7,
吉林省,2003年,16.2,27.5,3.6,4.3,,2704,7.25,2169.7,
吉林省,2002年,15.8,27.2,3.5,3.8,,2699,8.3,2067.3,
吉林省,2001年,16.31,28.5,3.3,5.2,,2691,8.76,1921.7,
黑龙江省,2024年,13.13,14.05,12.21,10.65,3.5,3029,3.35,16478.1,31269
黑龙江省,2023年,17.94,21.26,14.62,11.32,3.68,3062,2.92,16470.7,29694
黑龙江省,2022年,15.05,17.93,12.18,8.06,2.6,3099,3.34,16359.2,28346
黑龙江省,2021年,17.22,24.64,9.81,8.51,2.7,3125,3.59,15292.8,27159
黑龙江省,2020年,17.19,28.34,6.04,13.77,3.97,3171,3.75,14000.1,24902
黑龙江省,2019年,24.44,39.97,8.9,18.68,4.98,3255,5.73,13962.5,24254
黑龙江省,2018年,27.82,46.25,9.39,19.37,5.12,3327,5.98,13205.7,22726
黑龙江省,2017年,28.67,48.12,9.22,19.69,5.19,3399,6.22,12659.5,21206
黑龙江省,2016年,30.63,52.21,9.05,18.72,4.91,3463,6.12,12280.9,19838
黑龙江省,2015年,31.82,55.37,8.27,18.98,4.98,3529,6,12023.2,18593
黑龙江省,2014年,35.23,61.77,8.68,18.73,4.88,3608,7.37,12357.1,17404
黑龙江省,2013年,37.66,65.14,10.18,17.83,4.65,3666,6.86,12017,15903
黑龙江省,2012年,34.56,59.14,9.98,15.68,4.09,3724,7.3,11171,14302
黑龙江省,2011年,33.27,55.6,10.94,14.95,3.89,3782,6.99,10074,12605
黑龙江省,2010年,30.9,53,8.8,13.8,3.6,3833,7.35,8434.7,10846
黑龙江省,2009年,30.39,51.93,8.84,12.61,,3826,7.48,7315.8,9643
黑龙江省,2008年,28.3,48.7,7.9,11.67,,3825,7.91,7215.1,8877
黑龙江省,2007年,25.2,43.85,6.56,10.71,,3824,7.88,6193.7,7656
黑龙江省,2006年,23.2,41,5.4,9.9,,3823,7.57,5386.1,6748
黑龙江省,2005年,22.8,39.6,6.1,9.6,,3820,7.87,4804.5,6048
黑龙江省,2004年,23.8,41.01,6.02,9.3,,3817,7.27,4180.3,
黑龙江省,2003年,20.5,34.8,5.4,7.7,,3815,7.48,3649.8,
黑龙江省,2002年,19.7,33.6,5,7.2,,3813,7.98,3278.2,
黑龙江省,2001年,22.62,39.27,5.19,7.59,,3811,8.48,3074.1,
上海市,2024年,9.02,12.8,5.24,5.18,2.09,2480,4.75,53759.5,88366
上海市,2023年,10.42,15.26,5.59,4.3,1.73,2487,3.95,51404.5,84834
上海市,2022年,7.2,10.04,4.37,3.04,1.23,2475,4.35,48594.5,79610
上海市,2021年,8.98,11.4,6.57,3.62,1.46,2489,4.67,47059.4,78027
上海市,2020年,9.22,11.05,7.39,6.64,2.7,2488,5.02,41603.9,72232
上海市,2019年,9.87,12.01,7.72,6.17,2.54,2481,7,40241.2,69442
上海市,2018年,10.51,13.88,7.14,5.9,2.44,2475,7.2,37769.1,64183
上海市,2017年,10.87,13.84,7.9,5.88,2.43,2466,8.1,34378.3,58988
上海市,2016年,12.52,15.92,9.13,8.26,3.41,2467,9,30963.9,54305
上海市,2015年,14.18,19.89,8.47,6.66,2.76,2458,7.52,27821.6,49867
上海市,2014年,14.19,20.14,8.25,6.15,2.54,2467,8.35,25964.5,45966
上海市,2013年,14.95,22.17,7.74,6.96,2.88,2448,8.18,23809.4,42174
上海市,2012年,14.42,22.96,5.88,5.28,2.22,2399,9.56,21774.9,38550
上海市,2011年,14.89,23.94,5.84,4.79,3.39,2356,6.97,20406.1,34731
上海市,2010年,13,20.1,6,4.7,2.08,2303,7.05,18319.6,30436
上海市,2009年,14.99,23.33,6.65,4.82,,2210,8.64,16181.4,27500
上海市,2008年,14.16,22.04,6.28,4.64,,2141,8.89,14877.1,25385
上海市,2007年,12.01,18.1,5.93,4.69,,2064,9.07,13179.8,22459
上海市,2006年,16.6,27.3,5.8,4.7,,1964,7.47,10825.4,19647
上海市,2005年,10.3,16.4,4.1,3.9,,1890,7.04,9398.8,17738
上海市,2004年,12.49,20.27,4.18,3.6,,1835,6,8309.4,
上海市,2003年,10.8,17.2,3.9,3.3,,1766,4.85,6952.5,
上海市,2002年,9.1,14.6,3.1,3,,1713,5.41,5908.1,
上海市,2001年,9.3,15.23,2.68,3.15,,1668,5.02,5348.1,
江苏省,2024年,35.61,58.93,12.29,21.17,2.48,8526,4.98,136696.9,55415
江苏省,2023年,45.28,75.89,14.68,21.36,2.51,8526,4.81,130924.3,52674
江苏省,2022年,41.2,68.81,13.58,17.59,2.07,8515,5.23,124564.2,49862
江苏省,2021年,46.7,77.74,15.65,17.98,2.12,8505,5.65,119853.2,47498
江苏省,2020年,49.24,75.08,23.39,27,3.26,8477,6.65,104566.6,43390
江苏省,2019年,56.94,83.85,30.04,29.95,3.71,8469,9.12,99836.9,41400
江苏省,2018年,63.77,97.3,30.24,28.48,3.54,8446,9.32,93456.3,38096
江苏省,2017年,67.55,106.29,28.81,28.78,3.59,8423,9.71,86512.9,35024
江苏省,2016年,71.61,116.28,26.94,26.13,3.27,8381,9.76,78261.2,32070
江苏省,2015年,78.6,132.21,25,22.93,2.87,8315,9.05,71876,29539
江苏省,2014年,83.45,141.84,25.06,21.83,2.75,8281,9.45,66228.3,27173
江苏省,2013年,90.38,158.2,22.55,21.66,2.73,8192,9.44,60505.2,24776
江苏省,2012年,88.76,159.03,18.5,18.12,2.29,8120,9.44,54658.4,22432
江苏省,2011年,86.75,152.53,20.98,16.68,2.23,8023,9.59,49689.5,19820
江苏省,2010年,75.9,137.6,14.1,16,2.04,7869,9.73,42175.2,17006
江苏省,2009年,73.09,129.51,16.66,14.37,,7810,9.55,35074.6,14653
江苏省,2008年,62.47,110.63,14.31,13.55,,7762,9.34,31445.7,13237
江苏省,2007年,57.14,99.93,14.36,12.67,,7723,9.37,26373.8,11574
江苏省,2006年,59.2,105.7,12.8,11,,7656,9.36,21525.1,9947
江苏省,2005年,47.2,84.7,9.7,9.7,,7588,9.24,18345.9,8712
江苏省,2004年,51.64,93.98,9,9.1,,7523,9.45,14998.7,
江苏省,2003年,46.1,85.8,6.2,6.9,,7458,9.04,12588.2,
江苏省,2002年,48.1,89.4,6.6,7,,7406,9.17,10723.9,
江苏省,2001年,44.43,83.25,5.35,6.01,,7359,9.03,9554.3,
浙江省,2024年,23.81,37.2,10.43,13.03,1.96,6670,6.17,90007,67013
浙江省,2023年,30.06,48.16,11.95,12.34,1.87,6627,5.8,85619.6,63830
浙江省,2022年,30.43,49.29,11.58,10.54,1.6,6577,6.28,80770,60302
浙江省,2021年,26.32,40.1,12.54,9.5,1.46,6540,6.9,76765.3,57541
